id,task_type,prompt,quality_level,quality_score,grade,hallucination_risk,clarity,specificity,structure,constraints,decisions
102090,other,"I need a other for healthcare purposes. It should cover the main points and be around medium length. Please include examples if possible.

Company: Innovate Inc
Product: technology product
Audience: board members
Ref: 5725-HEA",medium,73,C,0.51,2,4,2,2,Version control noted | No risk assessment | Missing data source | No review process | Missing budget context
102091,video,"Role: Professional video editor for manufacturing content.

Task: Edit a 3-minute promotional video for a manufacturing product launch.

Instructions:
1. Create dynamic opening sequence (5 seconds)
2. Include product demonstration footage
3. Add customer testimonials
4. Design compelling call-to-action ending

Constraints:
- 4K resolution output
- Color grade for premium feel
- Licensed music only

Output Format: Premiere Pro project with exported MP4.

Ref: 2071-MAN",high,86,B,0.87,4,5,4,4,Reference materials cited | Comprehensive context provided | No risk assessment | Version control noted | Ambiguous target audience
102092,data_analysis,"Help me create a data_analysis focused on legal. It needs to be clear and organized. Target audience is managers.

Product: consulting application
Audience: marketing team
Ref: 3923-LEG",medium,83,B,0.51,3,3,3,2,Ambiguous target audience | No review process
102093,post,"need post for telecommunications stuff

Company: Stellar Tech
Product: sports product
Audience: marketing team
Ref: 1320-TEL",low,41,F,0.21,2,2,1,1,Output format specified | Specific deliverables mentioned
102094,report,"Create a report about insurance. Include some best practices and make it professional. Should be useful for a team meeting.

Product: journalism product
Ref: 7298-INS",medium,65,D,0.31,2,3,4,2,No review process | Technical requirements clear | Unclear ownership | Inconsistent terminology | Scope clearly defined
102095,creative,"I need a creative for real estate purposes. It should cover the main points and be around medium length. Please include examples if possible.

Product: marketing suite
Audience: employees
Ref: 9392-REA",medium,79,C,0.42,4,4,4,4,Specific deliverables mentioned | Comprehensive context provided | No fallback options | Unclear ownership
102096,video,"Role: Social media video creator for cybersecurity brands.

Task: Create 5 short-form videos (15-30 seconds each) for TikTok/Instagram.

Instructions:
1. Hook viewers in first 3 seconds
2. Add trending audio (licensed)
3. Include text overlays for accessibility
4. End with clear CTA

Constraints:
- 9:16 aspect ratio
- Fast-paced editing style
- On-brand visuals

Output Format: MP4 files optimized for each platform.

Timeline: this month
Ref: 9070-CYB",high,94,A,0.59,4,5,4,5,Actionable instructions | Ambiguous target audience
102097,document,"Role: Grant writer for nonprofit nonprofit.

Task: Write compelling grant proposal for nonprofit initiative funding.

Instructions:
1. Executive summary
2. Statement of need
3. Project description and goals
4. Budget justification

Constraints:
- Funder-specific format
- Measurable outcomes
- Sustainability plan

Output Format: PDF proposal with supporting attachments.

Product: healthcare application
Audience: investors
Ref: 4174-NON",high,100,A,0.36,5,5,4,4,No escalation path | Missing glossary
102098,post,"post on legal topic

Product: sports system
Audience: investors
Timeline: monthly
Ref: 8903-LEG",low,58,F,0.15,3,2,2,1,Vague objective statement | Ambiguous target audience | Missing budget context | No escalation path
102099,document,"document request: automotive focus area. Should explain concepts clearly with supporting data. Around 5-10 pages/slides.

Ref: 5170-AUT",medium,66,D,0.41,2,3,3,4,Stakeholders identified | Ambiguous target audience
102100,code,"Role: Experienced software architect in technology systems.

Task: Design and implement a RESTful API using FastAPI for managing user authentication and authorization.

Instructions:
1. Implement JWT token-based authentication
2. Include role-based access control (RBAC)
3. Add rate limiting (100 requests/minute)
4. Provide OpenAPI documentation

Constraints:
- Async/await patterns required
- SQLAlchemy for ORM
- Docker containerization

Output Format: Complete project structure with main.py, models.py, schemas.py, and Dockerfile.

Audience: partners
Ref: 7086-TEC",high,86,B,0.2,5,4,5,5,Specific deliverables mentioned | Strong constraints provided | No fallback options | Well-structured sections | Ambiguous target audience
102101,email,"Create email content for marketing use case. Structure: problem, solution, results. Make it persuasive.

Product: automotive system
Ref: 2825-MAR",medium,77,C,0.4,2,3,4,2,Success metrics defined | Technical requirements clear | Missing data source | Dependencies outlined | Vague objective statement
102102,code,"Role: DevOps engineer with expertise in healthcare infrastructure.

Task: Write a Terraform configuration to deploy a scalable web application on AWS.

Instructions:
1. Create VPC with public and private subnets
2. Set up Auto Scaling Group with EC2 instances
3. Configure Application Load Balancer
4. Implement RDS PostgreSQL database

Constraints:
- Multi-AZ deployment
- Security groups properly configured
- Cost-optimized instance types

Output Format: Terraform .tf files with variables and outputs.

Company: Acme Corp
Product: journalism framework
Timeline: ASAP
Ref: 5014-HEA",high,87,B,0.39,4,4,5,5,Incomplete background info | Inconsistent terminology | Ambiguous target audience | No quality standards | Missing glossary
102103,post,"Looking for a post about entertainment trends. Should have introduction, main content, and conclusion. Professional tone preferred.

Ref: 7507-ENT",medium,66,D,0.46,2,3,2,2,Actionable instructions | Detailed methodology included | Unclear ownership
102104,post,"post needed asap manufacturing

Timeline: Q4 2024
Ref: 5695-MAN",low,36,F,0.81,3,2,2,2,Missing examples | No fallback options | Professional tone maintained
102105,document,"I need a document for transportation purposes. It should cover the main points and be around medium length. Please include examples if possible.

Product: healthcare framework
Audience: employees
Ref: 6725-TRA",medium,79,C,0.48,2,2,2,3,Timeline specified | Version control noted
102106,email,"I need a email for technology purposes. It should cover the main points and be around medium length. Please include examples if possible.

Product: manufacturing module
Audience: marketing team
Timeline: Q4 2024
Ref: 4463-TEC",medium,70,C,0.38,2,2,4,3,Missing examples | Reference materials cited | Clear role definition | Measurable outcomes stated
102107,data_analysis,"Role: Operations analyst optimizing e-commerce supply chain.

Task: Analyze e-commerce logistics data for efficiency improvements.

Instructions:
1. Route optimization analysis
2. Inventory turnover metrics
3. Cost-benefit modeling
4. Bottleneck identification

Constraints:
- Lean methodology
- ROI calculations
- Implementation roadmap

Output Format: Excel model with PowerPoint recommendations.

Audience: end users
Ref: 8486-E-C",high,96,A,0.24,5,5,4,4,Missing examples | Timeline specified
102108,post,"post on technology topic

Ref: 9717-TEC",low,56,F,0.28,3,1,1,1,Reference materials cited | Lacks formatting guidance
102109,post,"Role: Blog writer for journalism publication.

Task: Write 5 in-depth blog posts (1500 words each) on journalism topics.

Instructions:
1. SEO-optimized headlines
2. Original research or insights
3. Expert quotes and citations
4. Clear CTAs

Constraints:
- Keyword integration
- Readable formatting (H2, H3, bullets)
- Meta descriptions

Output Format: Word documents with HTML formatting.

Ref: 7360-JOU",high,97,A,0.65,4,4,4,5,Lacks prioritization | Actionable instructions | Feedback mechanism included | Missing glossary
102110,report,"report needed asap retail

Audience: marketing team
Ref: 2800-RET",low,47,F,0.1,1,2,1,2,Clear role definition | Comprehensive context provided | Inconsistent terminology | Missing glossary | No quality standards
102111,post,"Need assistance with post for retail client. Key points to cover: overview, benefits, implementation. Thanks!

Audience: clients
Ref: 9098-RET",medium,77,C,0.56,3,2,4,2,Detailed methodology included | Actionable instructions
102112,creative,"Role: Poet commissioned for hospitality anthology.

Task: Write collection of 10 poems exploring hospitality themes.

Instructions:
1. Varied forms (sonnet, free verse, haiku)
2. Metaphorical language
3. Emotional resonance
4. Thematic connections

Constraints:
- Original imagery
- Consistent voice
- Publication-ready

Output Format: Manuscript with author notes.

Product: automotive platform
Ref: 3324-HOS",high,89,B,0.38,4,4,4,4,No quality standards | Missing examples | Lacks success criteria | Output format specified
102113,code,"help with e-commerce code

Timeline: next quarter
Ref: 1477-E-C",low,26,F,0.14,3,2,2,1,Incomplete background info | Missing glossary | Unclear ownership
102114,image,"Working on a image for manufacturing team. Needs to be informative but not too technical. Include actionable items.

Product: e-commerce dashboard
Ref: 8352-MAN",medium,67,D,0.55,3,3,3,4,Missing data source | Detailed methodology included
102115,image,"Create image content for real estate use case. Structure: problem, solution, results. Make it persuasive.

Product: government tool
Ref: 1460-REA",medium,74,C,0.38,3,4,4,2,No quality standards | No escalation path
102116,other,"Need assistance with other for journalism client. Key points to cover: overview, benefits, implementation. Thanks!

Company: Horizon Labs
Ref: 4064-JOU",medium,67,D,0.35,2,3,4,3,No deadline specified | Well-structured sections
102117,presentation,"help with retail presentation

Company: Peak Performance
Ref: 6513-RET",low,39,F,0.54,2,2,2,2,Missing examples | Technical requirements clear | Strong constraints provided | Success metrics defined | Detailed methodology included
102118,image,"Role: Brand identity designer for technology companies.

Task: Develop complete brand guidelines for a technology rebrand.

Instructions:
1. Define logo usage rules
2. Create typography hierarchy
3. Establish color system (primary, secondary, neutrals)
4. Design stationery mockups

Constraints:
- Modern and professional aesthetic
- Flexible for digital and print
- 50+ page document

Output Format: PDF brand guidelines with all assets.

Company: Vertex Industries
Timeline: next 6 months
Ref: 3600-TEC",high,88,B,0.1,4,5,5,4,Output format specified | Assumptions documented
102119,image,"Working on a image for finance team. Needs to be informative but not too technical. Include actionable items.

Ref: 6822-FIN",medium,74,C,0.31,4,2,2,4,Inconsistent terminology | Lacks prioritization
102120,post,"Help me create a post focused on entertainment. It needs to be clear and organized. Target audience is managers.

Audience: stakeholders
Ref: 9296-ENT",medium,70,C,0.34,2,2,3,3,No deadline specified | Missing budget context | Scope clearly defined | Timeline specified
102121,creative,"Need assistance with creative for finance client. Key points to cover: overview, benefits, implementation. Thanks!

Product: telecommunications product
Ref: 4983-FIN",medium,72,C,0.6,4,2,2,3,Inconsistent terminology | Stakeholders identified | Lacks prioritization
102122,image,"Working on a image for aerospace team. Needs to be informative but not too technical. Include actionable items.

Product: legal product
Ref: 1915-AER",medium,81,B,0.36,2,2,3,3,Missing glossary | No deadline specified
102123,document,"document on manufacturing topic

Ref: 7718-MAN",low,21,F,0.29,3,2,1,1,Detailed methodology included | Missing glossary | Well-structured sections
102124,report,"report on research topic

Audience: partners
Ref: 8736-RES",low,48,F,0.14,2,1,2,2,Specific deliverables mentioned | Actionable instructions | Reference materials cited | No accessibility considerations
102125,other,"do a other about automotive things

Platform: Redis
Ref: 6247-AUT",low,44,F,0.79,3,2,1,2,Reference materials cited | Version control noted
102126,email,"email request: cybersecurity focus area. Should explain concepts clearly with supporting data. Around 5-10 pages/slides.

Company: Synergy Works
Product: marketing application
Timeline: Q2 2024
Ref: 5759-CYB",medium,71,C,0.46,3,4,4,2,No escalation path | Reference materials cited | Feedback mechanism included
102127,report,"Role: Financial analyst preparing manufacturing market report.

Task: Create quarterly financial analysis report for manufacturing sector.

Instructions:
1. Executive summary
2. Revenue and expense analysis
3. Variance explanations
4. Forecast and recommendations

Constraints:
- GAAP compliant
- Data visualization charts
- Risk disclosures

Output Format: Excel workbook with PowerPoint summary.

Company: Acme Corp
Timeline: FY2024
Ref: 8217-MAN",high,94,A,0.33,5,4,5,5,Missing budget context | Lacks prioritization | Unclear ownership
102128,report,"Help me create a report focused on biotech. It needs to be clear and organized. Target audience is managers.

Product: banking dashboard
Audience: stakeholders
Ref: 7048-BIO",medium,79,C,0.5,2,3,4,3,Feedback mechanism included | Well-structured sections | Technical requirements clear | No fallback options | Inconsistent terminology
102129,email,"Role: PR specialist for telecommunications announcements.

Task: Draft press release email for telecommunications product launch.

Instructions:
1. Compelling headline
2. Boilerplate company info
3. Executive quotes
4. Media contact details

Constraints:
- AP style formatting
- Journalist-friendly
- Embargo considerations

Output Format: Press release document with media kit.

Timeline: weekly
Ref: 8609-TEL",high,85,B,0.79,4,4,4,4,Specific deliverables mentioned | Vague objective statement | Reference materials cited | No accessibility considerations
102130,document,"Role: Grant writer for education nonprofit.

Task: Write compelling grant proposal for education initiative funding.

Instructions:
1. Executive summary
2. Statement of need
3. Project description and goals
4. Budget justification

Constraints:
- Funder-specific format
- Measurable outcomes
- Sustainability plan

Output Format: PDF proposal with supporting attachments.

Audience: investors
Ref: 9484-EDU",high,99,A,0.29,5,5,4,4,Well-structured sections | No risk assessment | Inconsistent terminology | Missing examples
102131,post,"Role: Social media manager for telecommunications brand.

Task: Create LinkedIn content calendar for telecommunications thought leadership.

Instructions:
1. 20 posts mixing formats (text, image, video, poll)
2. Industry trend commentary
3. Employee spotlight series
4. Engagement strategies

Constraints:
- Posting schedule (3x weekly)
- Brand voice guidelines
- Hashtag research included

Output Format: Content calendar spreadsheet with post copy.

Company: Fusion Brands
Audience: investors
Timeline: Q1 2024
Ref: 9669-TEL",high,100,A,0.71,5,4,5,5,Stakeholders identified | No review process | No quality standards | Lacks formatting guidance | Feedback mechanism included
102132,video,"Create video content for journalism use case. Structure: problem, solution, results. Make it persuasive.

Ref: 1483-JOU",medium,68,D,0.41,4,4,2,3,Comprehensive context provided | No fallback options | Inconsistent terminology | Unclear ownership
102133,data_analysis,"Role: Operations analyst optimizing retail supply chain.

Task: Analyze retail logistics data for efficiency improvements.

Instructions:
1. Route optimization analysis
2. Inventory turnover metrics
3. Cost-benefit modeling
4. Bottleneck identification

Constraints:
- Lean methodology
- ROI calculations
- Implementation roadmap

Output Format: Excel model with PowerPoint recommendations.

Ref: 2056-RET",high,96,A,0.51,5,5,5,5,Measurable outcomes stated | Specific deliverables mentioned | No quality standards | Compliance requirements listed
102134,email,"Role: PR specialist for sports announcements.

Task: Draft press release email for sports product launch.

Instructions:
1. Compelling headline
2. Boilerplate company info
3. Executive quotes
4. Media contact details

Constraints:
- AP style formatting
- Journalist-friendly
- Embargo considerations

Output Format: Press release document with media kit.

Company: Future Systems
Ref: 6445-SPO",high,96,A,0.3,4,5,5,4,Missing examples | No escalation path | No risk assessment | No accessibility considerations
102135,code,"Help me create a code focused on energy. It needs to be clear and organized. Target audience is managers.

Product: nonprofit suite
Audience: developers
Ref: 8740-ENE",medium,81,B,0.31,2,4,2,4,No quality standards | Professional tone maintained
102136,image,"I need a image for nonprofit purposes. It should cover the main points and be around medium length. Please include examples if possible.

Audience: developers
Timeline: Q2 2024
Ref: 4545-NON",medium,67,D,0.31,2,2,4,2,No accessibility considerations | Specific deliverables mentioned | Actionable instructions | No escalation path | Missing examples
102137,image,"make a image about real estate

Product: transportation solution
Audience: analysts
Ref: 6391-REA",low,44,F,0.79,1,2,1,1,No fallback options | Vague objective statement | Technical requirements clear | No review process | Inconsistent terminology
102138,video,"Role: Social media video creator for marketing brands.

Task: Create 5 short-form videos (15-30 seconds each) for TikTok/Instagram.

Instructions:
1. Hook viewers in first 3 seconds
2. Add trending audio (licensed)
3. Include text overlays for accessibility
4. End with clear CTA

Constraints:
- 9:16 aspect ratio
- Fast-paced editing style
- On-brand visuals

Output Format: MP4 files optimized for each platform.

Company: Acme Corp
Product: entertainment network
Ref: 4084-MAR",high,86,B,0.58,5,4,5,5,No accessibility considerations | No fallback options
102139,document,"Looking for a document about agriculture trends. Should have introduction, main content, and conclusion. Professional tone preferred.

Company: Innovate Inc
Product: energy dashboard
Timeline: Q2 2024
Ref: 6294-AGR",medium,73,C,0.37,2,4,3,3,Vague objective statement | Measurable outcomes stated
102140,image,"Role: UI/UX designer for research applications.

Task: Design a mobile app onboarding flow with 5 screens.

Instructions:
1. Create wireframes first, then high-fidelity mockups
2. Include progress indicators
3. Design for iOS and Android
4. Add micro-interaction specifications

Constraints:
- Follow Material Design 3 guidelines
- Accessible color contrast (4.5:1 minimum)
- Figma deliverables

Output Format: Figma file link with component library.

Company: Innovate Inc
Product: insurance engine
Ref: 3689-RES",high,87,B,0.65,5,4,4,5,Missing budget context | Strong constraints provided | No quality standards | No review process | No risk assessment
102141,email,"Role: Sales development representative for pharmaceutical solutions.

Task: Write cold outreach email sequence (5 emails) for pharmaceutical prospects.

Instructions:
1. Personalized opening lines
2. Value proposition clarity
3. Social proof inclusion
4. Soft to direct CTAs

Constraints:
- Spam filter optimization
- A/B test variations
- Follow-up timing strategy

Output Format: Email templates with personalization fields.

Product: automotive portal
Ref: 3847-PHA",high,96,A,0.34,4,5,4,4,No escalation path | Assumptions documented | Compliance requirements listed | No fallback options | Actionable instructions
102142,email,"email request: legal focus area. Should explain concepts clearly with supporting data. Around 5-10 pages/slides.

Company: Global Solutions
Product: sports product
Ref: 2489-LEG",medium,78,C,0.39,2,2,3,3,Timeline specified | Missing budget context | Incomplete background info | Clear role definition
102143,image,"Task: image for education project

Requirements:
- Cover basics
- Include visuals
- Make it engaging

Deadline is next week.

Audience: marketing team
Ref: 4560-EDU",medium,79,C,0.56,3,3,4,2,Missing data source | Well-structured sections | Lacks prioritization | Missing examples
102144,image,"Looking for a image about transportation trends. Should have introduction, main content, and conclusion. Professional tone preferred.

Product: education solution
Audience: investors
Ref: 8078-TRA",medium,75,C,0.56,2,2,2,2,Professional tone maintained | Success metrics defined | No escalation path
102145,email,"Role: Customer success manager for transportation clients.

Task: Create onboarding email drip campaign for new transportation customers.

Instructions:
1. Welcome and expectations
2. Setup instructions
3. Best practices guide
4. Check-in and feedback requests

Constraints:
- Branded templates
- Automated triggers
- Personalization tokens

Output Format: HTML email templates with automation rules.

Audience: analysts
Ref: 5597-TRA",high,87,B,0.17,4,5,4,4,No fallback options | Lacks prioritization | Specific deliverables mentioned | Comprehensive context provided | Well-structured sections
102146,data_analysis,"need data_analysis for telecommunications stuff

Company: Global Solutions
Platform: Kubernetes
Ref: 6792-TEL",low,25,F,0.6,3,1,2,2,Lacks formatting guidance | Output format specified | Strong constraints provided | No review process | Success metrics defined
102147,video,"Role: Motion graphics designer for banking presentations.

Task: Create animated explainer video about banking processes.

Instructions:
1. Write 90-second script
2. Design custom illustrations
3. Animate with smooth transitions
4. Add professional voiceover

Constraints:
- After Effects project
- 1080p resolution
- Brand-consistent animation style

Output Format: AE project files with rendered video.

Product: journalism framework
Ref: 3352-BAN",high,89,B,0.33,4,4,5,4,No quality standards | Stakeholders identified | No escalation path | No review process
102148,data_analysis,"Role: Operations analyst optimizing legal supply chain.

Task: Analyze legal logistics data for efficiency improvements.

Instructions:
1. Route optimization analysis
2. Inventory turnover metrics
3. Cost-benefit modeling
4. Bottleneck identification

Constraints:
- Lean methodology
- ROI calculations
- Implementation roadmap

Output Format: Excel model with PowerPoint recommendations.

Platform: Azure
Ref: 1426-LEG",high,85,B,0.71,4,4,4,4,Scope clearly defined | Timeline specified | Version control noted | Success metrics defined | Clear role definition
102149,post,"need post for nonprofit stuff

Ref: 8596-NON",low,63,D,0.15,3,1,2,1,Success metrics defined | Missing glossary | Unclear ownership
102150,code,"Role: Backend engineer focused on nonprofit data systems.

Task: Develop a GraphQL API for querying complex relational data.

Instructions:
1. Define schema with types and relationships
2. Implement resolvers with DataLoader for N+1 problem
3. Add query complexity analysis
4. Enable query caching with Redis

Constraints:
- Node.js with Apollo Server
- PostgreSQL database
- Sub-100ms response time

Output Format: schema.js, resolvers.js, and server.js files.

Audience: customers
Ref: 4502-NON",high,94,A,0.72,5,4,4,5,Comprehensive context provided | No fallback options | Timeline specified | No risk assessment
102151,code,"Role: Backend engineer focused on automotive data systems.

Task: Develop a GraphQL API for querying complex relational data.

Instructions:
1. Define schema with types and relationships
2. Implement resolvers with DataLoader for N+1 problem
3. Add query complexity analysis
4. Enable query caching with Redis

Constraints:
- Node.js with Apollo Server
- PostgreSQL database
- Sub-100ms response time

Output Format: schema.js, resolvers.js, and server.js files.

Product: entertainment application
Platform: Rust
Ref: 6824-AUT",high,88,B,0.36,4,4,4,5,Well-structured sections | Detailed methodology included | No review process
102152,document,"document on insurance topic

Company: Innovate Inc
Product: aerospace product
Audience: managers
Ref: 4901-INS",low,64,D,0.22,1,2,2,2,Assumptions documented | Scope clearly defined | Well-structured sections
102153,document,"Role: Operations manual writer for education company.

Task: Develop standard operating procedures manual.

Instructions:
1. Process flowcharts
2. Step-by-step instructions
3. Quality checkpoints
4. Emergency procedures

Constraints:
- ISO compliance
- Regular review cycle
- Training integration

Output Format: Word document with visual aids and checklists.

Company: Acme Corp
Ref: 9670-EDU",high,91,A,0.64,4,5,4,5,Professional tone maintained | Lacks formatting guidance | No review process | No escalation path
102154,report,"Help me create a report focused on real estate. It needs to be clear and organized. Target audience is managers.

Audience: clients
Ref: 5443-REA",medium,70,C,0.59,4,2,2,3,Professional tone maintained | Comprehensive context provided | Stakeholders identified
102155,report,"Task: report for nonprofit project

Requirements:
- Cover basics
- Include visuals
- Make it engaging

Deadline is next week.

Timeline: next 6 months
Ref: 5054-NON",medium,78,C,0.4,2,2,4,2,Assumptions documented | Comprehensive context provided | Ambiguous target audience
102156,document,"Role: Policy writer for entertainment compliance.

Task: Draft data privacy policy document for entertainment organization.

Instructions:
1. Scope and definitions
2. Data collection practices
3. User rights (GDPR/CCPA)
4. Security measures

Constraints:
- Legally reviewed language
- Plain English explanations
- Regular update schedule

Output Format: Word document with version history.

Audience: customers
Ref: 2715-ENT",high,88,B,0.33,5,4,4,4,Version control noted | Ambiguous target audience | Detailed methodology included
102157,presentation,"presentation needed asap aerospace

Product: retail interface
Timeline: next quarter
Ref: 6529-AER",low,23,F,0.72,3,2,1,2,Ambiguous target audience | Incomplete background info
102158,creative,"creative needed asap manufacturing

Company: Acme Corp
Product: insurance engine
Ref: 6344-MAN",low,53,F,0.15,2,2,2,2,Strong constraints provided | No accessibility considerations | Dependencies outlined
102159,other,"Role: Legal researcher for hospitality compliance.

Task: Prepare case law summary for hospitality regulatory matter.

Instructions:
1. Relevant statute review
2. Precedent analysis
3. Circuit split identification
4. Recommendation memo

Constraints:
- Bluebook citation
- Attorney-client privilege
- Jurisdiction-specific

Output Format: Legal memorandum with appendix.

Company: Quantum Dynamics
Product: biotech interface
Ref: 9089-HOS",high,93,A,0.77,5,5,5,5,Measurable outcomes stated | Scope clearly defined | Incomplete background info | Missing examples | No escalation path
102160,video,"Need assistance with video for agriculture client. Key points to cover: overview, benefits, implementation. Thanks!

Product: hospitality interface
Ref: 5300-AGR",medium,83,B,0.54,4,2,2,3,Reference materials cited | No accessibility considerations | Comprehensive context provided
102161,image,"Develop a image about biotech strategy. Include market analysis and recommendations. Business audience.

Company: Global Solutions
Ref: 5517-BIO",medium,79,C,0.6,2,4,4,2,Specific deliverables mentioned | Ambiguous target audience | Inconsistent terminology | Version control noted | Vague objective statement
102162,data_analysis,"Looking for a data_analysis about pharmaceutical trends. Should have introduction, main content, and conclusion. Professional tone preferred.

Ref: 3809-PHA",medium,75,C,0.4,3,4,2,2,Dependencies outlined | Incomplete background info
102163,video,"technology video please

Product: insurance network
Audience: customers
Ref: 8187-TEC",low,54,F,0.19,1,2,2,1,Incomplete background info | Assumptions documented | Unclear ownership
102164,image,"create something for banking using image

Audience: employees
Ref: 4319-BAN",low,25,F,0.25,1,2,1,2,Version control noted | Output format specified | Missing glossary | Unclear ownership | Clear role definition
102165,video,"help with banking video

Product: aerospace portal
Audience: investors
Ref: 5344-BAN",low,50,F,0.16,2,1,1,2,Strong constraints provided | Clear role definition | Inconsistent terminology
102166,document,"Create document content for biotech use case. Structure: problem, solution, results. Make it persuasive.

Product: banking portal
Ref: 3893-BIO",medium,74,C,0.39,2,3,3,4,Unclear ownership | Reference materials cited
102167,data_analysis,"Role: Business intelligence analyst for government sales.

Task: Build sales forecasting model for government quarterly planning.

Instructions:
1. Historical data analysis
2. Seasonal decomposition
3. Machine learning model
4. Confidence intervals

Constraints:
- 95% accuracy target
- Real-time updating
- Stakeholder presentation

Output Format: Python script with PowerPoint results.

Company: Nexus Group
Product: hospitality framework
Ref: 3888-GOV",high,88,B,0.23,5,4,4,4,Missing glossary | Detailed methodology included | No fallback options
102168,other,"other real estate help

Ref: 5797-REA",low,53,F,0.78,3,2,2,1,Comprehensive context provided | No quality standards | Dependencies outlined | Lacks prioritization
102169,document,"Role: Technical writer for telecommunications software documentation.

Task: Create comprehensive API documentation for telecommunications platform.

Instructions:
1. Getting started guide
2. Authentication details
3. Endpoint reference (all CRUD operations)
4. Code examples in 5 languages

Constraints:
- OpenAPI 3.0 specification
- Interactive try-it feature
- Version control notes

Output Format: Markdown files with Swagger UI integration.

Ref: 7145-TEL",high,93,A,0.69,5,5,4,4,Specific deliverables mentioned | Compliance requirements listed
102170,post,"Need assistance with post for telecommunications client. Key points to cover: overview, benefits, implementation. Thanks!

Product: research framework
Audience: investors
Timeline: Q2 2024
Ref: 3606-TEL",medium,79,C,0.57,3,2,4,2,Ambiguous target audience | Clear role definition | No review process | Well-structured sections | Inconsistent terminology
102171,image,"I need a image for research purposes. It should cover the main points and be around medium length. Please include examples if possible.

Ref: 1190-RES",medium,74,C,0.5,2,2,4,2,Technical requirements clear | Measurable outcomes stated | No escalation path
102172,image,"image request: manufacturing focus area. Should explain concepts clearly with supporting data. Around 5-10 pages/slides.

Company: Horizon Labs
Ref: 3446-MAN",medium,77,C,0.35,3,4,3,3,Incomplete background info | Missing budget context | Clear role definition | Compliance requirements listed
102173,video,"I need a video for automotive purposes. It should cover the main points and be around medium length. Please include examples if possible.

Company: Pinnacle Co
Product: nonprofit solution
Timeline: Q3 2024
Ref: 9515-AUT",medium,78,C,0.57,4,2,3,4,No accessibility considerations | Lacks success criteria | Version control noted | Ambiguous target audience
102174,creative,"Role: Game narrative designer for telecommunications simulation game.

Task: Develop branching storyline with 5 endings for telecommunications tycoon game.

Instructions:
1. Character backstories
2. Decision trees
3. Dialogue scripts
4. World-building lore

Constraints:
- Player agency emphasis
- Meaningful choices
- Localization-ready

Output Format: Narrative design document with flowcharts.

Product: healthcare module
Ref: 6340-TEL",high,98,A,0.27,4,5,4,4,Stakeholders identified | Clear role definition | Timeline specified | No fallback options | Scope clearly defined
102175,other,"Create a other about pharmaceutical. Include some best practices and make it professional. Should be useful for a team meeting.

Audience: investors
Ref: 9056-PHA",medium,73,C,0.57,3,3,2,4,Scope clearly defined | No deadline specified | Detailed methodology included | Stakeholders identified
102176,data_analysis,"Create data_analysis content for transportation use case. Structure: problem, solution, results. Make it persuasive.

Ref: 9990-TRA",medium,81,B,0.58,3,3,3,4,No deadline specified | Output format specified | Dependencies outlined | Missing budget context | No risk assessment
102177,image,"image request: government focus area. Should explain concepts clearly with supporting data. Around 5-10 pages/slides.

Audience: investors
Ref: 7892-GOV",medium,67,D,0.58,2,4,3,3,Technical requirements clear | Compliance requirements listed | No escalation path | Dependencies outlined | No risk assessment
102178,other,"Role: Strategy consultant advising technology transformation.

Task: Develop digital transformation roadmap for technology organization.

Instructions:
1. Current state assessment
2. Future state vision
3. Gap analysis
4. Implementation phases

Constraints:
- Executive sponsorship
- Change management
- Technology stack

Output Format: Strategy deck with roadmap timeline.

Ref: 9124-TEC",high,98,A,0.39,4,4,4,4,Feedback mechanism included | Unclear ownership
102179,image,"help with telecommunications image

Product: cybersecurity dashboard
Audience: partners
Ref: 7297-TEL",low,43,F,0.75,1,2,1,2,No accessibility considerations | Technical requirements clear | Compliance requirements listed | Missing data source | No review process
102180,post,"make post for work education

Timeline: Q3 2024
Ref: 2232-EDU",low,48,F,0.68,2,1,1,2,Unclear ownership | Comprehensive context provided
102181,data_analysis,"Role: Market researcher studying agriculture trends.

Task: Conduct sentiment analysis on agriculture social media data.

Instructions:
1. Data collection (API scraping)
2. Text preprocessing
3. NLP model application
4. Trend visualization

Constraints:
- Ethical data collection
- Bias mitigation
- Actionable insights

Output Format: Report with interactive dashboard.

Audience: customers
Ref: 7941-AGR",high,92,A,0.26,4,4,4,5,Dependencies outlined | Unclear ownership | Reference materials cited | Lacks prioritization | Professional tone maintained
102182,report,"Create report content for sports use case. Structure: problem, solution, results. Make it persuasive.

Audience: stakeholders
Timeline: annual
Ref: 9620-SPO",medium,69,D,0.53,3,2,3,2,Reference materials cited | No review process | No risk assessment | Stakeholders identified
102183,post,"post real estate help

Audience: administrators
Ref: 5949-REA",low,23,F,0.14,3,1,2,2,Assumptions documented | Output format specified | Vague objective statement | Clear role definition
102184,report,"Role: Competitive intelligence analyst in insurance sector.

Task: Create competitive landscape analysis report.

Instructions:
1. Market share data
2. Competitor SWOT analysis
3. Pricing comparison
4. Strategic recommendations

Constraints:
- Primary and secondary research
- Confidential handling
- Quarterly updates

Output Format: PowerPoint with supporting Excel data.

Product: hospitality suite
Audience: sales team
Ref: 4176-INS",high,95,A,0.13,4,4,4,4,Dependencies outlined | Feedback mechanism included
