id,task_type,prompt,quality_level,quality_score,grade,hallucination_risk,clarity,specificity,structure,constraints,decisions
2937,email,reply to design e-learning course module,low,58,F,0.62,2,2,2,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
2938,code,"Role: Senior developer specializing in science systems.
Task: Debug and optimize the following code that analyze website traffic patterns.
Input Data: [code snippet will be provided]
Instructions: Identify bugs, explain issues, and provide corrected optimized version.
Constraints: Maintain backward compatibility.
Output Format: Bug analysis table + corrected code.",high,92,A,0.1,5,5,5,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
2939,image,make image design event invitation,low,25,F,0.88,1,1,2,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
2940,report,analysis of develop quality assurance checklist,low,57,F,0.74,1,1,1,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
2941,report,"Role: Market researcher focusing on media trends.
Task: Analyze and report on create budget proposal.
Context: Based on survey data from 500 respondents.
Constraints: Include statistical significance, avoid speculation.
Output Format: Methodology + findings + charts description + conclusions.",high,95,A,0.2,5,5,5,5,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
2942,email,"Role: Professional copywriter for manufacturing communications.
Task: Write a cold outreach email for build API integration.
Instructions: Personalized opening, clear value proposition, soft CTA.
Constraints: Under 150 words, professional but approachable tone.
Output Format: Subject line options + email body + follow-up sequence.",high,91,A,0.06,5,4,5,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
2943,image,"Role: Professional graphic designer specializing in research visuals.
Task: Create an image depicting create crisis management protocol.
Instructions: Use modern design principles with attention to color psychology.
Constraints: Must be suitable for professional presentation, 16:9 aspect ratio.
Output Format: Detailed image description including composition, colors, and mood.",high,91,A,0.24,5,4,4,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
2944,data_analysis,create user authentication system numbers,low,38,F,0.67,1,2,2,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
2945,creative,creative develop quality assurance checklist,low,53,F,0.62,1,2,2,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
2946,video,"Role: Corporate video director for product management communications.
Task: Plan a promotional video showcasing build automated testing suite.
Instructions: Highlight key benefits, include testimonials structure.
Constraints: 90 seconds maximum, professional tone.
Output Format: Concept summary + shot list + script outline.",high,97,A,0.09,4,5,5,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
2947,creative,"Role: Scriptwriter for design entertainment.
Task: Write dialogue for a scene where develop content calendar.
Instructions: Reveal character through action and speech, subtext important.
Constraints: 2 characters, 2-page max, natural speech patterns.
Output Format: Scene heading + character dialogue + brief stage directions.",high,93,A,0.11,4,5,4,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
2948,creative,"Role: Brand storyteller for hospitality companies.
Task: Create a brand origin story about design logo and brand identity.
Instructions: Emotional connection, highlight values, memorable narrative.
Constraints: 400 words, authentic voice, avoid clichés.
Output Format: Narrative story + key themes + usage guidelines.",high,87,B,0.18,4,5,5,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
2949,data_analysis,Examine optimize database queries patterns in hospitality dataset. Provide findings.,medium,78,C,0.33,2,3,4,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
2950,document,Need a guide about optimize database queries for media users. Step-by-step format.,medium,67,D,0.43,3,4,4,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
2951,image,"Role: UI/UX designer for environment products.
Task: Design a mockup for implement payment processing.
Instructions: Follow modern UI trends, prioritize accessibility.
Constraints: Must comply with WCAG 2.1 AA standards.
Output Format: Wireframe description + visual design specs + interaction notes.",high,95,A,0.14,5,4,4,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
2952,creative,"Role: Scriptwriter for finance entertainment.
Task: Write dialogue for a scene where write grant proposal.
Instructions: Reveal character through action and speech, subtext important.
Constraints: 2 characters, 2-page max, natural speech patterns.
Output Format: Scene heading + character dialogue + brief stage directions.",high,93,A,0.08,4,4,5,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
2953,other,Plan develop project timeline for retail project. Include timeline and resources.,medium,69,D,0.36,3,3,4,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
2954,presentation,"Role: Executive presentation designer for media consulting.
Task: Create a 12-slide deck about write press release.
Instructions: Use data-driven storytelling, include compelling visuals.
Constraints: Each slide max 6 bullet points, consistent branding.
Output Format: Slide outline with content for each slide + speaker notes.",high,89,B,0.11,4,5,4,4,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
2955,email,write develop quality assurance checklist mail,low,35,F,0.9,2,2,1,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
2956,document,write technical documentation writeup,low,61,D,0.82,1,2,1,2,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
2957,code,"Create a script for develop security protocols. Requirements: efficient, documented, tested.",medium,75,C,0.39,3,2,4,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
2958,image,"Role: Digital artist with expertise in legal imagery.
Task: Generate a series of 5 images showing implement payment processing.
Context: These will be used in a training presentation for new employees.
Constraints: Consistent style across all images, appropriate for corporate use.
Output Format: Description for each image with style specifications.",high,92,A,0.13,4,5,5,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
2959,code,make something that does create crisis management protocol,low,60,D,0.82,2,1,2,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
2960,other,build automated testing suite stuff,low,62,D,0.82,2,1,1,1,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
2961,email,"Role: Customer success manager in media industry.
Task: Draft a response to a customer complaint about build recommendation engine.
Instructions: Empathetic, solution-focused, reinforce relationship.
Constraints: Acknowledge issue, provide timeline, offer compensation if appropriate.
Output Format: Email draft + internal escalation notes.",high,85,B,0.19,4,5,5,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
2962,creative,"Role: Brand storyteller for product management companies.
Task: Create a brand origin story about write job description.
Instructions: Emotional connection, highlight values, memorable narrative.
Constraints: 400 words, authentic voice, avoid clichés.
Output Format: Narrative story + key themes + usage guidelines.",high,85,B,0.07,5,5,4,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
2963,document,build chatbot for customer support writeup,low,33,F,0.75,1,1,2,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
2964,data_analysis,"Role: Research analyst in consulting field.
Task: Perform comparative analysis of design event invitation.
Context: Comparing 3 different approaches/methods over 12-month period.
Constraints: Control for variables, note limitations, statistical rigor.
Output Format: Methodology + comparison table + statistical tests + conclusions.",high,90,A,0.14,5,5,4,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
2965,report,"Role: Market researcher focusing on agriculture trends.
Task: Analyze and report on analyze employee satisfaction data.
Context: Based on survey data from 500 respondents.
Constraints: Include statistical significance, avoid speculation.
Output Format: Methodology + findings + charts description + conclusions.",high,95,A,0.1,5,4,5,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
2966,video,"Role: Professional video producer for agriculture content.
Task: Create a storyboard for a 3-minute video about generate financial forecasts.
Instructions: Include shot composition, transitions, and pacing notes.
Constraints: Must be engaging for social media, include captions.
Output Format: Scene-by-scene breakdown with timing and visual/audio elements.",high,90,A,0.13,4,5,4,3,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
2967,creative,Create story featuring design marketing campaign visuals for technology audience. 500 words.,medium,65,D,0.49,4,4,3,3,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
2968,document,Need a guide about write job description for research users. Step-by-step format.,medium,70,C,0.31,4,4,4,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
2969,other,Outline approach to write job description for environment initiative.,medium,80,B,0.54,3,4,4,3,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
2970,video,Script needed for develop content calendar video. Educational content for operations beginners.,medium,75,C,0.39,3,3,2,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
2971,creative,Draft narrative about design event invitation set in healthcare world.,medium,78,C,0.5,4,2,2,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
2972,video,"Role: Professional video producer for manufacturing content.
Task: Create a storyboard for a 3-minute video about write technical documentation.
Instructions: Include shot composition, transitions, and pacing notes.
Constraints: Must be engaging for social media, include captions.
Output Format: Scene-by-scene breakdown with timing and visual/audio elements.",high,98,A,0.1,4,5,4,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
2973,creative,write grant proposal fiction,low,46,F,0.74,2,2,2,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
2974,report,analysis of create crisis management protocol,low,42,F,0.87,2,2,1,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
2975,code,analyze customer feedback patterns script needed asap,low,35,F,0.64,1,2,1,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
2976,email,reply to create social media strategy,low,61,D,0.71,2,1,2,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
2977,code,help with design email newsletter template programming,low,47,F,0.84,2,1,1,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
2978,other,Develop framework for design email newsletter template in agriculture environment.,medium,80,B,0.33,4,3,2,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
2979,document,analyze employee satisfaction data paper needed,low,45,F,0.7,1,1,1,1,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
2980,post,"Role: Content creator for product management communities.
Task: Write a Twitter thread about design mobile app interface.
Instructions: Hook in first tweet, educational content, strong conclusion.
Constraints: 8-10 tweets, each under 280 characters.
Output Format: Full thread with engagement prompts for each tweet.",high,97,A,0.06,5,4,4,4,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
2981,post,Create content about write customer case study for consulting blog. Informative but casual.,medium,73,C,0.41,4,3,2,2,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
2982,report,Summarize create user survey questions for retail annual review. Executive summary style.,medium,70,C,0.52,3,3,4,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
2983,report,"Role: Senior analyst for education research.
Task: Write an executive summary for a report on automate data entry processes.
Instructions: Synthesize key findings, highlight actionable insights.
Constraints: Maximum 2 pages, data-backed claims only.
Output Format: Executive summary + key findings + recommendations.",high,96,A,0.21,4,5,4,5,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
2984,report,"Role: Compliance auditor for technology operations.
Task: Prepare an audit report on analyze customer feedback patterns.
Instructions: Document findings with evidence, rate risk levels.
Constraints: Objective tone, cite specific standards/regulations.
Output Format: Executive summary + detailed findings + risk matrix + action items.",high,91,A,0.2,5,4,5,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
2985,image,"Role: Digital artist with expertise in science imagery.
Task: Generate a series of 5 images showing create budget proposal.
Context: These will be used in a training presentation for new employees.
Constraints: Consistent style across all images, appropriate for corporate use.
Output Format: Description for each image with style specifications.",high,93,A,0.12,5,5,4,5,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
2986,presentation,Build presentation for create budget proposal. Audience: entertainment executives.,medium,66,D,0.44,4,3,2,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
2987,video,Make a video about create user survey questions for marketing training. Keep it under 5 minutes.,medium,78,C,0.5,3,2,2,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
2988,code,I need a function that can design event invitation. It should be in Python and work for transportation data.,medium,80,B,0.43,4,3,2,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
2989,presentation,analyze product usage metrics talk slides,low,43,F,0.8,2,2,1,2,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
2990,presentation,slides on design logo and brand identity,low,58,F,0.64,2,1,1,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
2991,post,Write social post about design mobile app interface for design company. Engaging tone.,medium,81,B,0.39,2,2,3,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
2992,data_analysis,"Role: Data scientist specializing in government analytics.
Task: Analyze a dataset to understand build dashboard for KPI tracking.
Input Data: CSV with columns [list will be provided]
Instructions: Clean data, perform EDA, identify patterns, test hypotheses.
Constraints: Use appropriate statistical methods, document assumptions.
Output Format: Analysis plan + code + visualizations + interpretation.",high,92,A,0.18,4,5,5,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
2993,image,need graphic for design event invitation,low,58,F,0.87,1,1,1,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
2994,other,develop quality assurance checklist,low,36,F,0.71,1,1,1,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
2995,other,"Role: Strategy consultant for entertainment organizations.
Task: Develop a strategic recommendation for create crisis management protocol.
Context: Company facing competitive pressure, needs transformation.
Constraints: 3-year horizon, feasible implementation, measurable outcomes.
Output Format: Situation analysis + options + recommendation + implementation roadmap.",high,91,A,0.22,4,5,5,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
2996,report,Analyze develop security protocols and write report for technology leadership. Include findings.,medium,82,B,0.41,3,2,4,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
2997,code,code for develop security protocols,low,58,F,0.83,1,2,1,2,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
2998,other,"Role: Strategy consultant for retail organizations.
Task: Develop a strategic recommendation for write press release.
Context: Company facing competitive pressure, needs transformation.
Constraints: 3-year horizon, feasible implementation, measurable outcomes.
Output Format: Situation analysis + options + recommendation + implementation roadmap.",high,91,A,0.2,4,4,5,5,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
2999,report,analysis of automate data entry processes,low,50,F,0.89,1,2,1,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
3000,creative,Create story featuring build data pipeline for real estate audience. 500 words.,medium,68,D,0.47,3,2,2,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
3001,data_analysis,"Role: Research analyst in real estate field.
Task: Perform comparative analysis of create investor pitch materials.
Context: Comparing 3 different approaches/methods over 12-month period.
Constraints: Control for variables, note limitations, statistical rigor.
Output Format: Methodology + comparison table + statistical tests + conclusions.",high,92,A,0.05,5,5,4,4,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
3002,post,Create content about optimize database queries for sports blog. Informative but casual.,medium,71,C,0.38,4,3,4,3,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
3003,other,Outline approach to design webinar presentation for product management initiative.,medium,65,D,0.34,3,3,4,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
3004,document,Create policy on generate monthly sales reports for operations compliance. Formal language.,medium,79,C,0.46,2,4,2,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
3005,image,Generate images about create competitor analysis. Use appropriate colors for science industry.,medium,84,B,0.31,4,3,4,2,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
3006,data_analysis,develop project timeline numbers,low,61,D,0.8,2,2,1,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
3007,report,"Role: Market researcher focusing on human resources trends.
Task: Analyze and report on write grant proposal.
Context: Based on survey data from 500 respondents.
Constraints: Include statistical significance, avoid speculation.
Output Format: Methodology + findings + charts description + conclusions.",high,91,A,0.14,4,4,5,4,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
3008,email,analyze market trends correspondence,low,35,F,0.86,2,1,1,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
3009,report,"Role: Market researcher focusing on energy trends.
Task: Analyze and report on optimize database queries.
Context: Based on survey data from 500 respondents.
Constraints: Include statistical significance, avoid speculation.
Output Format: Methodology + findings + charts description + conclusions.",high,86,B,0.19,4,5,5,5,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
3010,post,Create content about create stakeholder communication plan for nonprofit blog. Informative but casual.,medium,78,C,0.32,4,2,3,2,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
3011,presentation,optimize database queries talk slides,low,27,F,0.82,2,2,2,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
3012,other,Plan create user survey questions for technology project. Include timeline and resources.,medium,68,D,0.39,2,4,2,3,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
3013,presentation,deck for develop quality assurance checklist,low,42,F,0.68,1,2,2,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
3014,email,"Role: Professional copywriter for manufacturing communications.
Task: Write a cold outreach email for create crisis management protocol.
Instructions: Personalized opening, clear value proposition, soft CTA.
Constraints: Under 150 words, professional but approachable tone.
Output Format: Subject line options + email body + follow-up sequence.",high,92,A,0.15,4,5,4,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
3015,image,I need visuals showing build automated testing suite. These are for a legal presentation.,medium,67,D,0.51,3,4,4,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
3016,report,"Role: Senior analyst for media research.
Task: Write an executive summary for a report on analyze employee satisfaction data.
Instructions: Synthesize key findings, highlight actionable insights.
Constraints: Maximum 2 pages, data-backed claims only.
Output Format: Executive summary + key findings + recommendations.",high,96,A,0.2,5,4,4,5,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
3017,data_analysis,Data task: generate monthly sales reports analysis for legal report.,medium,83,B,0.45,2,4,3,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
3018,post,"Role: Social media manager for healthcare brands.
Task: Create a LinkedIn post about develop project timeline.
Instructions: Professional tone, include call-to-action, optimize for engagement.
Constraints: 300 words max, 3-5 hashtags, appropriate for B2B audience.
Output Format: Post text + hashtag suggestions + best posting time.",high,98,A,0.11,5,5,5,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
3019,post,write design email newsletter template update,low,28,F,0.75,2,1,1,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
3020,code,help with build dashboard for KPI tracking programming,low,42,F,0.82,1,1,2,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
3021,report,Summarize design webinar presentation for government annual review. Executive summary style.,medium,73,C,0.45,4,2,4,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
3022,document,Create policy on develop risk assessment framework for legal compliance. Formal language.,medium,68,D,0.42,4,2,4,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
3023,data_analysis,"Role: Business intelligence analyst for sports operations.
Task: Create a dashboard specification for tracking develop project timeline.
Instructions: Identify KPIs, design layout, specify data sources.
Constraints: Real-time updates, mobile-responsive, executive-friendly.
Output Format: Dashboard mockup description + metric definitions + technical requirements.",high,93,A,0.08,5,4,5,5,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
3024,image,"Role: Professional graphic designer specializing in consulting visuals.
Task: Create an image depicting develop security protocols.
Instructions: Use modern design principles with attention to color psychology.
Constraints: Must be suitable for professional presentation, 16:9 aspect ratio.
Output Format: Detailed image description including composition, colors, and mood.",high,93,A,0.2,4,4,5,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
3025,video,"Role: Educational video scriptwriter focusing on human resources.
Task: Write a script for an instructional video explaining analyze churn rate factors.
Context: Target audience is beginners with no prior knowledge.
Constraints: Maximum 5 minutes, simple language, include visual cues.
Output Format: Two-column script (visual | audio) with timing markers.",high,91,A,0.12,5,5,4,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
3026,code,"Role: You are an experienced marketing software engineer.
Task: Write a Python function to write grant proposal.
Instructions: Use clean code principles, include type hints, and add comprehensive docstrings.
Constraints: Function must handle edge cases and return appropriate error messages.
Output Format: Provide the code block followed by 2-3 usage examples.",high,86,B,0.1,4,5,4,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
3027,image,"Role: Digital artist with expertise in manufacturing imagery.
Task: Generate a series of 5 images showing analyze employee satisfaction data.
Context: These will be used in a training presentation for new employees.
Constraints: Consistent style across all images, appropriate for corporate use.
Output Format: Description for each image with style specifications.",high,98,A,0.11,4,5,4,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
3028,video,Script needed for design marketing campaign visuals video. Educational content for human resources beginners.,medium,68,D,0.55,4,4,4,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
3029,image,"Role: Professional graphic designer specializing in design visuals.
Task: Create an image depicting design webinar presentation.
Instructions: Use modern design principles with attention to color psychology.
Constraints: Must be suitable for professional presentation, 16:9 aspect ratio.
Output Format: Detailed image description including composition, colors, and mood.",high,87,B,0.18,5,5,4,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
3030,other,write press release plan,low,51,F,0.76,1,2,1,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
3031,data_analysis,stats on optimize database queries,low,31,F,0.72,2,2,2,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
3032,data_analysis,Data task: develop quality assurance checklist analysis for retail report.,medium,83,B,0.34,2,2,4,2,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
3033,other,Strategy for develop mobile responsiveness fix in education context. Recommendations needed.,medium,73,C,0.42,3,4,2,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
3034,data_analysis,"Role: Business intelligence analyst for education operations.
Task: Create a dashboard specification for tracking design email newsletter template.
Instructions: Identify KPIs, design layout, specify data sources.
Constraints: Real-time updates, mobile-responsive, executive-friendly.
Output Format: Dashboard mockup description + metric definitions + technical requirements.",high,91,A,0.13,4,5,4,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
3035,other,Plan build chatbot for customer support for legal project. Include timeline and resources.,medium,76,C,0.53,4,4,4,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
3036,code,"Role: Technical lead for education applications.
Task: Design a system architecture for analyze customer feedback patterns.
Context: This is for a mid-scale enterprise with 10k daily users.
Constraints: Must be scalable, secure, and cost-effective.
Output Format: Architecture diagram description + component list + implementation roadmap.",high,86,B,0.08,5,4,4,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
3037,report,"Role: Senior analyst for design research.
Task: Write an executive summary for a report on develop quality assurance checklist.
Instructions: Synthesize key findings, highlight actionable insights.
Constraints: Maximum 2 pages, data-backed claims only.
Output Format: Executive summary + key findings + recommendations.",high,97,A,0.25,4,4,5,3,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
3038,document,"Role: Policy writer for finance organizations.
Task: Draft a policy document regarding create vendor evaluation criteria.
Context: Must align with industry regulations and best practices.
Constraints: Formal tone, legally compliant language.
Output Format: Policy statement + scope + procedures + compliance requirements.",high,95,A,0.16,4,4,4,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
3039,video,"Role: Professional video producer for operations content.
Task: Create a storyboard for a 3-minute video about develop project timeline.
Instructions: Include shot composition, transitions, and pacing notes.
Constraints: Must be engaging for social media, include captions.
Output Format: Scene-by-scene breakdown with timing and visual/audio elements.",high,98,A,0.18,5,4,5,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
3040,code,"Role: Senior developer specializing in finance systems.
Task: Debug and optimize the following code that generate monthly sales reports.
Input Data: [code snippet will be provided]
Instructions: Identify bugs, explain issues, and provide corrected optimized version.
Constraints: Maintain backward compatibility.
Output Format: Bug analysis table + corrected code.",high,87,B,0.07,4,4,5,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
3041,email,Draft message regarding build data pipeline for sales team. Clear and concise.,medium,73,C,0.49,2,3,3,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
3042,data_analysis,stats on automate data entry processes,low,27,F,0.64,2,1,1,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
3043,data_analysis,"Role: Research analyst in consulting field.
Task: Perform comparative analysis of create user survey questions.
Context: Comparing 3 different approaches/methods over 12-month period.
Constraints: Control for variables, note limitations, statistical rigor.
Output Format: Methodology + comparison table + statistical tests + conclusions.",high,94,A,0.22,5,4,5,3,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
3044,report,Analyze create competitor analysis and write report for healthcare leadership. Include findings.,medium,65,D,0.39,2,3,3,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
3045,post,"Role: Content creator for strategy communities.
Task: Write a Twitter thread about build data pipeline.
Instructions: Hook in first tweet, educational content, strong conclusion.
Constraints: 8-10 tweets, each under 280 characters.
Output Format: Full thread with engagement prompts for each tweet.",high,92,A,0.06,5,4,5,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
3046,email,"Role: Customer success manager in operations industry.
Task: Draft a response to a customer complaint about build data pipeline.
Instructions: Empathetic, solution-focused, reinforce relationship.
Constraints: Acknowledge issue, provide timeline, offer compensation if appropriate.
Output Format: Email draft + internal escalation notes.",high,90,A,0.08,5,4,4,4,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
3047,document,Create policy on design event invitation for retail compliance. Formal language.,medium,66,D,0.31,3,4,3,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
3048,email,"Role: Customer success manager in strategy industry.
Task: Draft a response to a customer complaint about build chatbot for customer support.
Instructions: Empathetic, solution-focused, reinforce relationship.
Constraints: Acknowledge issue, provide timeline, offer compensation if appropriate.
Output Format: Email draft + internal escalation notes.",high,86,B,0.1,4,5,4,5,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
3049,code,I need a function that can optimize database queries. It should be in Python and work for real estate data.,medium,78,C,0.36,4,4,4,2,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
3050,creative,"Role: Creative writer specializing in marketing narratives.
Task: Write a short story opening (500 words) about create stakeholder communication plan.
Instructions: Establish compelling protagonist, hint at conflict, set tone.
Constraints: Third-person limited perspective, contemporary setting.
Output Format: Story excerpt + character brief + potential plot directions.",high,98,A,0.05,4,5,5,5,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
3051,email,Email needed: write product launch announcement proposal for design prospect.,medium,75,C,0.47,3,2,3,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
